review_text,Sub - Category
was good hotel made last experience right this time. would recommend for good budget five star hotel.,Satisfaction
the hotel was very welcoming and staff were so humble to the customers and takes every request seriously. the food taste was great and room service is commendable.,Delight
"very fabulous ?? king size rooms were decent - hotel staff was also good, but the lackings were way too high price and breakfast was not that good even after paying so much.",Delight
"i must say that my experience was nothing short of delightful, and i would highly recommend this hotel to anyone looking for a comfortable and enjoyable stay. the attention to detail in the room's design and amenities truly made me feel like a valued guest. one of the highlights of my stay was the hotel's dining options. from the exceptional service to the comfortable accommodations and convenient location, this hotel truly made my trip memorable.",Delight
"this upscale hotel exceeded my expectations with its impeccable service, elegant ambiance, and top-notch amenities. the attention to detail in the room's design and the quality of the amenities offered were outstanding.",Delight
good stay the room are quite spacious and linen is clean. overall happy with this hotel.,Satisfaction
value for money had a wonderful stay at royal orchid.,Delight
"pricing was good on 1st day, but increased on 2nd day which was not comparable with other 5 star hotels.",Disappointment
value for money rooms are good.,Satisfaction
room service it is bad that they ask for the payment right after bringing the food to the room- not everyone keeps cash. will rather opt for a different hotel,Disappointment
"review of hotel orchid value for money property, clean rooms and prompt service located in close proximity to the airport",Satisfaction
terrible stay stay did not meet our expectation as amenities were missing which were included in the room booking,Frustation
excellent stay good property well maintained staff behaviour was too good will again visit property soon food was also good room and it’s view was amazing.,Delight
"excellent stay lovely hotel room, service is very good, food was awesome, i love the stay.",Delight
you have many other good options near this property.. there is completely wastage of money for this hotel to checkin...,Disappointment
decently affordable luxurious & comfortable had a very good overall experiance.,Delight
wonderful stay it was great weather & hotel staff was also very understanding.,Delight
"value for money comfortable stay and good food, very very good staff",Delight
great place absolutely good place to stay at best price,Delight
value for money the perfect service and excellent stay,Delight
nice hotel one of the best in this budget.,Satisfaction
overall satisfied with the experience and was my 3rd visit to this hotel.,Satisfaction
"decent business hotel, value for money pros:
1. value for money
2.",Satisfaction
"this is a business hotel, do not expect any added luxury
2. the breakfast and dinner is value for money and the taste is good
3.",Satisfaction
great value foot money the hotel location is very good.,Delight
excellent stay it was at par with other good hotels.,Delight
"value for money the hotel is very good clean, and safe with covid views.<br />all good.",Satisfaction
"centrally located for meetings. good room, food average, property ok",Satisfaction
for the price we pay for rooms they need to keep things very clean and provide basic amenities like towels.,Disappointment
i would call it a budget friendly 5 star hotel. but few things considered can take this hotel to another level. 1. the rooms can be more clean. please take care of these things to take your hotel to next level.,neutral
we were denied the complimentary upgrade to club room as i was told that the room we had booked is of the same specification.,Disappointment
